Team.Name,Score
Blacksburg,86
Covenant Day,160
Oakton,197
Grafton (WV),215
Atkins,227
Westfield,228
Cedar Ridge,240
George C Marshall,254
Albemarle,260
Colonial Forge,374
Clover,400
James Madison,416
Cuthbertson,419
Jackson-Reed,426
Jefferson (WV),454
Mills E Godwin,480
St. John Paul th,487
Grafton (VA),526
Leadership Academy,532
Coastal Christian,543
Wakefield,589
Ravenscroft,595
Forsyth Home Edu,615
Walsingham Academy,665
Middle Creek,720
Franklin Academy,728
Heritage Leadership,732
St. Thomas More,753
D.H. Conley,819
Green Level,840
Brentsville,919
Thomas Jefferson,932
Ravenwood,978
Davidson Day,985
North Myrtle Beach,998
Cape Fear Academy,1003
Wake Christian A,1003
Community School,1015
DC International,1022
Havelock,1136
Gaston Christian,1140
Seaforth,1191
Holy Trinity Epi,1264
Burlington Chris,1297
Liberty (Bedford),1323
Trinity Episcopal,1342
Orange,1500
